context,target_id,target_text,theta_author,theta_cell
The quantum computer,416,res,6.946449242789224,6.137118339538574
The quantum computer,2511,uilder,9.702336077665425,7.77425479888916
The quantum computer,6225,.pre,11.281168732372622,8.489105224609375
The quantum computer,11431,iones,9.654916952934698,7.926027297973633
The quantum computer,26629, cliente,13.526817946495118,10.410571098327637
The quantum computer,40990, Bachelor,26.52824133648983,9.72188663482666
The quantum computer,42139,.toJson,11.004301442540571,8.524795532226562
The quantum computer,46770,DateString,8.629810673711807,6.630311012268066
The quantum computer,59885,haled,9.96911109912537,7.985320091247559
The quantum computer,76519,/stretchr,10.888922256710032,8.665125846862793
The quantum computer,82596,(The,5.731748525600837,4.527098655700684
The quantum computer,84220, oferta,11.84068215277063,9.115160942077637
The quantum computer,85071,ngoing,9.13255812135992,7.251253128051758
The quantum computer,92169,“These,9.701024881847891,7.4427080154418945
The quantum computer,96064, BroadcastReceiver,13.199935828494002,10.337403297424316
The quantum computer,98669,CLUSION,11.991783442890338,9.495458602905273
The quantum computer,101930,长期,8.606722057882521,7.309516429901123
The quantum computer,110836,城里,10.071069906071177,8.424805641174316
The quantum computer,123565,鲰,11.570315725766832,8.919340133666992
The quantum computer,123957,�,,9.749634742736816
The quantum computer,130270, 건,13.214781553157737,9.779919624328613
The quantum computer,138680, insanların,11.811972976071981,8.240191459655762
The quantum computer,142071,звуч,8.998866482719114,7.073877334594727
The quantum computer,147490,🏬,,16.19959259033203
For dinner I made,416,res,7.854773355548878,6.745175361633301
For dinner I made,2511,uilder,8.939998318430426,7.536244869232178
For dinner I made,6225,.pre,10.129708855360434,8.573591232299805
For dinner I made,11431,iones,8.018675530802046,6.957168102264404
For dinner I made,26629, cliente,10.142905962973135,8.30886459350586
For dinner I made,40990, Bachelor,27.90380464937802,9.909032821655273
For dinner I made,42139,.toJson,7.791758073269679,6.4358086585998535
For dinner I made,46770,DateString,8.257038873508836,6.80010986328125
For dinner I made,59885,haled,9.456854103559317,8.294271469116211
For dinner I made,76519,/stretchr,11.443267122638886,9.848759651184082
For dinner I made,82596,(The,6.944926936656205,5.665450096130371
For dinner I made,84220, oferta,11.147596996577477,8.822028160095215
For dinner I made,85071,ngoing,9.114550744035103,7.812283515930176
For dinner I made,92169,“These,9.705253180582762,7.752257823944092
For dinner I made,96064, BroadcastReceiver,12.345370231022052,10.658370971679688
For dinner I made,98669,CLUSION,14.450233829466546,11.491833686828613
For dinner I made,101930,长期,7.756203333488512,6.80333948135376
For dinner I made,110836,城里,9.93426877770895,8.648859024047852
For dinner I made,123565,鲰,10.062484850497622,8.479569435119629
For dinner I made,123957,�,,10.817179679870605
For dinner I made,130270, 건,11.443695945072937,9.176074028015137
For dinner I made,138680, insanların,12.195622686277796,9.581768035888672
For dinner I made,142071,звуч,9.02706347681937,7.705331325531006
For dinner I made,147490,🏬,,19.139339447021484
